booking_id,hotel_type,lead_time,room_price,payment_type,customer_type,booking_channel,cancellation_status,cancellation_reason
134,Resort,14,2373,Pay at Hotel,New,Website,1,Change of Plan
135,Budget,55,3990,Pay at Hotel,New,App,1,Unknown
136,Budget,39,5188,Pay at Hotel,Returning,Website,1,Payment Failure
137,Resort,20,4597,Pay at Hotel,New,App,1,Change of Plan
138,Budget,14,4089,Prepaid,Returning,Website,0,Not Cancelled
139,Budget,21,4547,Prepaid,New,Website,1,Better Alternative
140,City,51,2905,Pay at Hotel,Returning,Website,1,Price Issue
141,Budget,27,1107,Prepaid,New,App,1,Unknown
142,Budget,13,4159,Prepaid,Returning,Agent,0,Not Cancelled
143,Resort,26,5872,Pay at Hotel,Returning,Website,1,Better Alternative
144,Resort,40,3976,Pay at Hotel,Returning,Website,1,Payment Failure
145,City,39,2051,Pay at Hotel,Returning,App,1,Better Alternative
146,Budget,57,3547,Pay at Hotel,New,Website,1,No Show
147,Budget,27,2317,Pay at Hotel,New,Website,1,Unknown
148,Budget,25,2178,Pay at Hotel,Returning,Website,1,Price Issue
149,City,48,5691,Prepaid,New,Website,1,No Show
150,City,1,5792,Pay at Hotel,Returning,Agent,1,Unknown
151,Resort,24,2761,Prepaid,Returning,Agent,1,Payment Failure
152,City,55,5105,Pay at Hotel,New,Website,1,No Show
153,Budget,2,3663,Pay at Hotel,New,Website,1,Better Alternative
154,Budget,7,3456,Prepaid,Returning,Website,0,Not Cancelled
155,City,43,3294,Pay at Hotel,New,Agent,1,Better Alternative
156,Budget,32,5863,Pay at Hotel,Returning,Agent,1,Payment Failure
157,Budget,41,5367,Prepaid,New,App,1,Price Issue
158,City,51,4805,Pay at Hotel,New,App,1,No Show
159,City,34,4363,Prepaid,New,Website,1,Price Issue
160,Budget,5,1722,Pay at Hotel,New,Website,1,Payment Failure
161,Budget,38,5032,Pay at Hotel,New,Agent,1,No Show
162,Budget,51,5262,Prepaid,Returning,Website,1,Unknown
163,Resort,22,3759,Pay at Hotel,New,Website,1,Unknown
164,Resort,24,983,Prepaid,New,Agent,1,Better Alternative
165,Resort,58,4158,Prepaid,Returning,Agent,1,Better Alternative
166,City,49,2198,Prepaid,Returning,Agent,1,Payment Failure
167,Resort,42,3596,Pay at Hotel,Returning,Agent,1,Unknown
168,City,18,1336,Pay at Hotel,New,App,1,No Show
169,City,4,2073,Prepaid,New,Agent,0,Not Cancelled
170,Resort,50,3767,Pay at Hotel,Returning,Agent,1,Better Alternative
171,Resort,10,3849,Pay at Hotel,Returning,Website,1,Payment Failure
172,Resort,55,1896,Pay at Hotel,Returning,Website,1,Unknown
173,Budget,11,2105,Prepaid,Returning,Website,0,Not Cancelled
174,Resort,9,1715,Pay at Hotel,New,App,1,Unknown
175,Budget,7,3881,Prepaid,New,Agent,0,Not Cancelled
176,City,23,5047,Pay at Hotel,New,Agent,1,Unknown
177,Budget,59,1828,Pay at Hotel,New,App,1,Better Alternative
178,Resort,27,2777,Prepaid,New,Agent,1,No Show
179,City,40,4154,Pay at Hotel,Returning,Website,1,Better Alternative
180,City,35,3311,Prepaid,New,App,1,Better Alternative
181,City,36,1070,Pay at Hotel,Returning,Agent,1,Better Alternative
182,Budget,20,1986,Prepaid,Returning,App,0,Not Cancelled
183,Resort,7,5355,Pay at Hotel,Returning,App,1,Change of Plan
184,City,54,5000,Pay at Hotel,New,Agent,1,Change of Plan
185,City,8,4564,Pay at Hotel,Returning,Website,1,Price Issue
186,City,46,3198,Prepaid,New,Agent,1,Better Alternative
187,Budget,14,5329,Prepaid,Returning,Agent,0,Not Cancelled
188,Budget,47,5035,Prepaid,New,Website,1,Price Issue
189,Resort,45,4982,Pay at Hotel,Returning,Agent,1,Payment Failure
190,Budget,39,2511,Prepaid,New,Agent,1,Better Alternative
191,City,17,3030,Prepaid,Returning,Agent,0,Not Cancelled
192,Resort,41,928,Prepaid,Returning,App,1,Payment Failure
193,City,59,2069,Prepaid,Returning,App,1,Price Issue
194,City,19,4472,Prepaid,Returning,App,0,Not Cancelled
195,Budget,5,2401,Prepaid,New,Agent,0,Not Cancelled
196,Resort,11,5565,Prepaid,New,Website,0,Not Cancelled
197,Budget,1,4770,Prepaid,New,App,0,Not Cancelled
198,Budget,6,5044,Prepaid,Returning,Website,0,Not Cancelled
199,Resort,15,5880,Prepaid,Returning,Agent,0,Not Cancelled
200,City,2,5747,Pay at Hotel,Returning,App,1,Payment Failure
201,City,44,1427,Pay at Hotel,Returning,Agent,1,No Show
202,Resort,2,4597,Prepaid,Returning,Website,0,Not Cancelled
203,City,26,2844,Pay at Hotel,Returning,App,1,Better Alternative
204,Resort,49,4352,Pay at Hotel,New,App,1,No Show
205,Resort,42,5779,Prepaid,New,App,1,Payment Failure
206,Budget,39,3141,Prepaid,New,App,1,Better Alternative
207,Resort,37,4014,Prepaid,New,Website,1,No Show
208,Budget,32,1049,Pay at Hotel,New,App,1,Better Alternative
209,City,27,3725,Prepaid,New,Agent,1,Unknown
210,City,0,5843,Pay at Hotel,New,App,1,No Show
211,City,54,1774,Prepaid,New,Website,1,Unknown
212,City,7,2125,Pay at Hotel,Returning,App,1,Price Issue
213,Budget,36,1783,Pay at Hotel,Returning,Website,1,Price Issue
214,City,31,1688,Prepaid,Returning,Website,1,Payment Failure
215,Resort,59,3737,Prepaid,Returning,Agent,1,Change of Plan
216,Resort,47,2917,Pay at Hotel,Returning,App,1,Unknown
217,Resort,42,3472,Pay at Hotel,Returning,App,1,Unknown
218,Budget,36,5770,Prepaid,Returning,App,1,Price Issue
219,City,3,2126,Prepaid,New,Agent,0,Not Cancelled
220,City,29,1270,Pay at Hotel,New,Agent,1,Change of Plan
221,City,5,2787,Prepaid,Returning,Website,0,Not Cancelled
222,Budget,45,890,Pay at Hotel,New,Website,1,Better Alternative
223,Resort,53,1329,Prepaid,New,Website,1,Change of Plan
224,Resort,18,5556,Prepaid,New,Agent,0,Not Cancelled
225,City,31,4859,Prepaid,New,Agent,1,Unknown
226,Resort,8,5634,Pay at Hotel,New,Agent,1,Unknown
227,Resort,11,3573,Prepaid,Returning,Website,0,Not Cancelled
228,Budget,10,5767,Pay at Hotel,New,Agent,1,No Show
229,Budget,45,2486,Prepaid,Returning,Website,1,Change of Plan
230,Budget,54,991,Pay at Hotel,Returning,Website,1,Change of Plan
231,Budget,15,2786,Pay at Hotel,Returning,App,1,Change of Plan
232,City,0,4423,Prepaid,New,App,0,Not Cancelled
233,Budget,44,2985,Pay at Hotel,Returning,App,1,Change of Plan
234,Resort,54,5240,Pay at Hotel,Returning,Website,1,Unknown
235,City,52,1808,Pay at Hotel,Returning,App,1,Payment Failure
236,Resort,20,4583,Pay at Hotel,Returning,App,1,Price Issue
237,Resort,29,5098,Prepaid,New,App,1,Unknown
238,Resort,12,5468,Prepaid,Returning,Agent,0,Not Cancelled
239,Budget,33,5087,Prepaid,Returning,Website,1,No Show
240,Budget,3,2852,Pay at Hotel,Returning,App,1,Price Issue
241,City,27,4108,Pay at Hotel,Returning,Agent,1,Change of Plan
242,City,37,2516,Prepaid,New,Agent,1,Price Issue
243,Budget,57,1110,Prepaid,Returning,Agent,1,Payment Failure
244,Resort,30,5338,Pay at Hotel,Returning,App,1,Better Alternative
245,City,58,2060,Prepaid,Returning,Agent,1,Unknown
246,Budget,54,5765,Prepaid,Returning,Website,1,Price Issue
247,Budget,26,4732,Pay at Hotel,Returning,Agent,1,No Show
248,Budget,4,4068,Prepaid,Returning,Agent,0,Not Cancelled
249,Resort,24,1384,Pay at Hotel,New,Agent,1,Better Alternative
250,Budget,2,3599,Prepaid,Returning,Agent,0,Not Cancelled
251,Budget,32,1159,Pay at Hotel,New,Website,1,Change of Plan
252,Budget,3,3666,Pay at Hotel,New,App,1,Better Alternative
253,Budget,24,2811,Pay at Hotel,Returning,Website,1,No Show
254,City,19,5739,Pay at Hotel,New,Website,1,Better Alternative
255,City,33,4806,Pay at Hotel,Returning,App,1,No Show
256,Budget,25,2425,Prepaid,New,Agent,1,Change of Plan
257,Resort,4,3564,Prepaid,Returning,App,0,Not Cancelled
258,City,34,1690,Prepaid,New,App,1,Payment Failure
259,Budget,27,5855,Pay at Hotel,New,Website,1,Price Issue
260,City,28,1531,Prepaid,Returning,App,1,Payment Failure
261,City,8,4761,Pay at Hotel,New,Agent,1,Unknown
262,Resort,51,5501,Pay at Hotel,New,Website,1,Payment Failure
263,Budget,37,3304,Prepaid,New,Agent,1,Better Alternative
264,Budget,49,1414,Pay at Hotel,New,Website,1,Change of Plan
265,Resort,5,4606,Prepaid,New,Agent,0,Not Cancelled
266,Resort,18,2519,Pay at Hotel,Returning,App,1,Unknown
267,Budget,59,5569,Pay at Hotel,New,App,1,Unknown
268,Budget,43,2387,Prepaid,New,App,1,Price Issue
269,Resort,56,2411,Pay at Hotel,Returning,Agent,1,No Show
270,City,10,1696,Prepaid,Returning,Website,0,Not Cancelled
271,City,1,1077,Pay at Hotel,Returning,Website,1,Change of Plan
272,Resort,46,5447,Prepaid,New,Website,1,Price Issue
273,City,43,2436,Pay at Hotel,New,App,1,Payment Failure
274,Resort,43,2958,Prepaid,New,Agent,1,Change of Plan
275,City,8,3232,Prepaid,New,Website,0,Not Cancelled
276,City,20,4704,Pay at Hotel,Returning,Agent,1,Change of Plan
277,Budget,23,5656,Prepaid,Returning,Website,1,Change of Plan
278,Budget,33,4062,Pay at Hotel,New,App,1,Payment Failure
279,City,21,2249,Pay at Hotel,New,Agent,1,No Show
280,City,2,5300,Prepaid,New,Website,0,Not Cancelled
281,Budget,11,2032,Prepaid,New,Website,0,Not Cancelled
282,Budget,27,4917,Prepaid,Returning,Website,1,No Show
283,Budget,29,1477,Prepaid,Returning,Website,1,Price Issue
284,Resort,25,3458,Prepaid,New,App,1,Unknown
285,City,47,2828,Pay at Hotel,Returning,Website,1,Better Alternative
286,Budget,20,4558,Prepaid,New,Website,0,Not Cancelled
287,City,27,5424,Pay at Hotel,New,App,1,Payment Failure
288,Resort,55,2837,Prepaid,Returning,Website,1,No Show
289,Resort,25,3449,Prepaid,New,Agent,1,Unknown
290,Budget,32,1456,Prepaid,Returning,Agent,1,Change of Plan
291,Resort,20,965,Pay at Hotel,New,Website,1,Better Alternative
292,City,34,5744,Prepaid,Returning,App,1,Unknown
293,Budget,51,5391,Pay at Hotel,New,App,1,Change of Plan
294,City,33,1389,Pay at Hotel,Returning,App,1,Unknown
295,City,40,5324,Pay at Hotel,New,Website,1,Price Issue
296,Resort,50,3621,Prepaid,New,Website,1,Change of Plan
297,Resort,46,5058,Pay at Hotel,Returning,Agent,1,Change of Plan
298,Resort,17,2062,Prepaid,New,App,0,Not Cancelled
299,Resort,57,871,Pay at Hotel,Returning,Website,1,Payment Failure
300,Resort,10,4316,Prepaid,Returning,Website,0,Not Cancelled
301,Budget,56,5550,Pay at Hotel,New,Website,1,No Show
302,City,22,4380,Prepaid,New,App,1,Price Issue
303,City,47,1068,Prepaid,New,App,1,Payment Failure
304,City,21,2576,Prepaid,New,Agent,1,Unknown
305,City,16,3262,Pay at Hotel,Returning,App,1,Payment Failure
306,Resort,4,2068,Pay at Hotel,New,Website,1,No Show
307,City,43,1815,Prepaid,New,Agent,1,Better Alternative
308,Budget,10,3522,Pay at Hotel,New,App,1,No Show
309,Budget,29,1883,Pay at Hotel,Returning,App,1,Change of Plan
310,City,14,4901,Pay at Hotel,New,App,1,Change of Plan
311,City,26,5877,Pay at Hotel,Returning,App,1,Payment Failure
312,Budget,34,1206,Pay at Hotel,New,Website,1,Payment Failure
313,Budget,32,3876,Pay at Hotel,Returning,App,1,No Show
314,Resort,19,1785,Pay at Hotel,New,Website,1,No Show
315,Budget,15,4403,Prepaid,New,Website,0,Not Cancelled
316,Resort,33,5285,Prepaid,Returning,Website,1,Price Issue
317,Resort,1,1509,Pay at Hotel,New,Agent,1,Unknown
318,Resort,34,3418,Prepaid,New,Website,1,Change of Plan
319,Resort,39,5649,Prepaid,New,App,1,Unknown
320,Resort,55,2211,Prepaid,Returning,Agent,1,No Show
321,City,27,5421,Pay at Hotel,New,App,1,Unknown
322,Budget,46,2285,Pay at Hotel,Returning,Website,1,Better Alternative
323,Resort,38,3750,Pay at Hotel,Returning,App,1,Price Issue
324,Budget,5,5451,Pay at Hotel,Returning,Agent,1,No Show
325,Budget,8,3734,Pay at Hotel,New,Agent,1,Payment Failure
326,Resort,19,4914,Prepaid,Returning,App,0,Not Cancelled
327,City,59,5470,Pay at Hotel,Returning,App,1,No Show
328,Resort,0,1803,Prepaid,New,App,0,Not Cancelled
329,City,7,3266,Pay at Hotel,Returning,Agent,1,Payment Failure
330,Budget,54,3266,Prepaid,Returning,Website,1,Change of Plan
331,City,22,2738,Pay at Hotel,New,App,1,Change of Plan
332,City,2,2739,Pay at Hotel,New,Website,1,No Show
333,City,3,2435,Pay at Hotel,Returning,Agent,1,No Show
334,Budget,57,2498,Pay at Hotel,New,App,1,Better Alternative
335,Budget,24,5327,Pay at Hotel,New,App,1,Price Issue
336,City,46,2891,Pay at Hotel,New,Agent,1,Price Issue
337,City,37,2695,Prepaid,Returning,App,1,No Show
338,Resort,14,5040,Pay at Hotel,Returning,Website,1,Change of Plan
339,City,20,4198,Prepaid,New,Agent,0,Not Cancelled
340,Resort,34,1873,Pay at Hotel,Returning,Agent,1,Better Alternative
341,City,56,5984,Prepaid,New,App,1,Price Issue
342,Resort,52,3202,Prepaid,New,Agent,1,No Show
343,Budget,52,5695,Prepaid,New,App,1,Change of Plan
344,City,45,4012,Prepaid,New,App,1,Change of Plan
345,City,51,4837,Prepaid,New,Agent,1,Change of Plan
346,City,13,1951,Prepaid,Returning,App,0,Not Cancelled
347,City,35,3245,Pay at Hotel,Returning,Website,1,Payment Failure
348,Resort,11,2756,Prepaid,Returning,Website,0,Not Cancelled
349,City,16,5358,Pay at Hotel,Returning,App,1,Change of Plan
350,Budget,38,4707,Pay at Hotel,New,Website,1,No Show
351,Budget,8,1607,Prepaid,New,App,0,Not Cancelled
352,City,34,986,Prepaid,Returning,Website,1,Unknown
353,Budget,59,5627,Pay at Hotel,Returning,Agent,1,No Show
354,City,12,5324,Prepaid,New,App,0,Not Cancelled
355,City,14,2107,Prepaid,New,App,0,Not Cancelled
356,Budget,17,3084,Prepaid,New,App,0,Not Cancelled
357,City,50,5666,Prepaid,Returning,App,1,Price Issue
358,Budget,32,1557,Prepaid,New,App,1,No Show
359,Resort,5,5031,Prepaid,New,App,0,Not Cancelled
360,City,58,5687,Prepaid,Returning,Agent,1,No Show
361,Resort,26,4654,Pay at Hotel,Returning,Agent,1,Better Alternative
362,Budget,22,5066,Prepaid,Returning,Website,1,Better Alternative
363,Resort,58,3006,Pay at Hotel,New,App,1,No Show
364,Resort,26,4358,Pay at Hotel,New,Website,1,Better Alternative
365,Budget,33,2380,Pay at Hotel,Returning,Website,1,Unknown
366,Resort,55,1761,Pay at Hotel,New,Agent,1,Change of Plan
367,Resort,45,4647,Prepaid,New,Website,1,Better Alternative
368,Budget,37,4375,Pay at Hotel,New,Agent,1,Unknown
369,Resort,13,1675,Pay at Hotel,Returning,Website,1,Better Alternative
370,Budget,35,3218,Pay at Hotel,Returning,App,1,Unknown
371,Resort,52,4998,Pay at Hotel,New,Website,1,No Show
372,Budget,7,1801,Pay at Hotel,New,Agent,1,Price Issue
373,Budget,34,4184,Prepaid,New,Agent,1,Payment Failure
374,Resort,18,4866,Prepaid,New,Agent,0,Not Cancelled
375,Resort,29,3645,Pay at Hotel,Returning,Website,1,Payment Failure
376,Resort,13,2281,Prepaid,Returning,Website,0,Not Cancelled
377,City,58,4101,Prepaid,New,Agent,1,No Show
378,City,19,1457,Pay at Hotel,New,App,1,No Show
379,City,48,3580,Pay at Hotel,Returning,App,1,Unknown
380,Budget,24,1222,Pay at Hotel,New,Website,1,Better Alternative
381,Resort,39,4481,Prepaid,Returning,Website,1,No Show
382,Budget,23,5066,Pay at Hotel,New,Agent,1,No Show
383,City,13,3510,Prepaid,Returning,Website,0,Not Cancelled
384,Resort,25,1252,Prepaid,New,Website,1,Unknown
385,Budget,37,3197,Prepaid,New,Agent,1,Unknown
386,Resort,22,2775,Pay at Hotel,Returning,Agent,1,Unknown
387,Budget,21,2457,Prepaid,Returning,Website,1,Unknown
388,Resort,47,3341,Pay at Hotel,New,App,1,Price Issue
389,City,56,3875,Pay at Hotel,New,Website,1,Better Alternative
390,City,18,3964,Pay at Hotel,Returning,App,1,Price Issue
391,Resort,45,3766,Pay at Hotel,Returning,App,1,No Show
392,Budget,50,2853,Pay at Hotel,New,App,1,Price Issue
393,City,2,1087,Prepaid,New,Agent,0,Not Cancelled
394,City,41,4017,Prepaid,Returning,Agent,1,No Show
395,City,18,4654,Prepaid,Returning,Agent,0,Not Cancelled
396,Resort,8,2247,Prepaid,Returning,Website,0,Not Cancelled
397,Resort,27,1407,Prepaid,Returning,Agent,1,Better Alternative
398,Budget,19,5352,Pay at Hotel,Returning,Agent,1,Price Issue
399,Budget,44,2564,Pay at Hotel,New,Website,1,No Show
400,Budget,6,2025,Prepaid,New,Website,0,Not Cancelled
401,Resort,13,2035,Prepaid,Returning,App,0,Not Cancelled
402,Resort,8,1829,Prepaid,New,Website,0,Not Cancelled
403,Budget,58,3471,Pay at Hotel,New,Website,1,Better Alternative
404,Budget,59,4762,Pay at Hotel,Returning,Agent,1,Payment Failure
405,Resort,54,5342,Pay at Hotel,New,App,1,Better Alternative
406,Budget,56,5730,Prepaid,New,App,1,Unknown
407,City,59,3977,Prepaid,New,Website,1,Payment Failure
408,Resort,18,4522,Prepaid,Returning,Agent,0,Not Cancelled
409,Budget,46,5706,Prepaid,Returning,Agent,1,Better Alternative
410,Resort,51,5854,Pay at Hotel,New,Agent,1,No Show
411,City,13,2275,Prepaid,New,Agent,0,Not Cancelled
412,Resort,55,3696,Prepaid,New,Website,1,No Show
413,Resort,37,1608,Prepaid,New,Agent,1,Unknown
414,Resort,52,1778,Pay at Hotel,New,App,1,Unknown
415,Resort,35,3263,Pay at Hotel,New,App,1,No Show
416,City,39,1525,Prepaid,Returning,Website,1,Change of Plan
417,Resort,16,3301,Pay at Hotel,New,Agent,1,Payment Failure
418,Resort,29,4162,Pay at Hotel,New,Agent,1,Better Alternative
419,Budget,8,2016,Pay at Hotel,Returning,Agent,1,No Show
420,Resort,32,4851,Pay at Hotel,New,Agent,1,No Show
421,Budget,55,2997,Pay at Hotel,New,Website,1,Better Alternative
422,City,51,3606,Prepaid,New,Agent,1,Payment Failure
423,City,24,1578,Prepaid,New,Website,1,Better Alternative
424,City,13,1772,Prepaid,Returning,Agent,0,Not Cancelled
425,City,10,3610,Pay at Hotel,New,Agent,1,Change of Plan
426,Budget,52,2923,Pay at Hotel,Returning,App,1,Unknown
427,Resort,34,1398,Pay at Hotel,New,Website,1,Change of Plan
428,City,40,4141,Pay at Hotel,New,App,1,Better Alternative
429,Resort,58,1024,Prepaid,Returning,Website,1,Unknown
430,Budget,13,1640,Prepaid,New,Agent,0,Not Cancelled
431,Budget,29,2614,Prepaid,Returning,Agent,1,Unknown
432,Budget,40,5609,Prepaid,Returning,Website,1,No Show
433,City,3,1906,Prepaid,Returning,App,0,Not Cancelled
434,Resort,58,924,Prepaid,New,Website,1,Change of Plan
